icmp_seq,time,mean_period5,mean_period10,mean_period20,StdDev_period5,StdDev_period10,StdDev_period20
309,61.0,58.5,60.23,59.585,2.26936114358,5.74167029511,5.28864473735
310,55.6,57.7,60.34,59.385,2.47991935353,5.62913058217,5.36315647436
311,68.7,60.28,59.69,59.36,5.21315643349,3.80100863807,5.31595414023
312,54.8,59.3,59.01,59.37,5.77927331072,4.02311377473,5.30670876295
313,59.5,59.92,58.99,59.6,5.55220676848,4.019798226,5.20141681103
314,56.7,59.06,58.78,59.625,5.67476871775,4.08514925608,5.18539193058
315,54.3,58.8,58.25,59.51,5.89830484122,4.30484223482,5.28063991338
316,58.0,56.66,58.47,59.555,2.17324641953,4.22112412621,5.26282643693
317,56.6,57.02,58.16,59.6,1.92275843517,4.23456674945,5.23188604415
318,56.6,56.44,58.18,59.1,1.33529023062,4.22579381103,5.0004210349
319,57.6,56.62,57.84,59.035,1.43596657343,4.10885223227,5.01159445161
320,55.9,56.94,57.87,59.105,0.847348806572,4.09173964633,4.95436808866
321,54.7,56.28,56.47,58.08,1.07098085884,1.62757488307,3.29043270231
323,57.8,56.52,56.77,57.89,1.27553910171,1.56066225259,3.18448541658
324,60.1,57.22,56.83,57.91,2.05353354002,1.6839437837,3.19768008011
325,58.6,57.42,57.02,57.9,2.14639232201,1.7725060727,3.19506197947
326,54.5,57.14,57.04,57.645,2.46231598297,1.7392207706,3.25519422979
327,59.4,58.08,57.18,57.825,2.17876111586,1.87604785535,3.24732683587
328,57.7,58.06,57.29,57.725,2.18242983851,1.87050201223,3.21720293684
329,56.6,57.36,57.29,57.735,1.90866445453,1.87050201223,3.21317599891
330,59.6,57.56,57.49,57.665,2.11258135938,2.00911810393,3.15298939187
331,57.6,58.18,57.66,57.765,1.28140547837,1.92999712147,3.11554253111
332,55.5,57.4,57.74,57.105,1.51822264507,1.80628532261,1.79574790166
333,58.7,57.6,57.83,57.3,1.62941707368,1.83184788306,1.74325768847
334,54.7,57.22,57.29,57.06,2.08014422577,1.88352506399,1.7548129305
335,55.8,56.46,57.01,57.015,1.64103625798,1.87524813173,1.77594304081
336,58.4,56.62,57.4,57.22,1.81024860171,1.69181033873,1.68010024764
337,57.6,57.04,57.22,57.2,1.72713635825,1.54474017952,1.67269086709
338,55.7,56.44,57.02,57.155,1.51426549852,1.60402272081,1.70153955056
339,58.9,57.28,57.25,57.27,1.47207336774,1.69918281012,1.73935862347
340,58.4,57.8,57.13,57.31,1.26293309403,1.55066294067,1.75646175442
341,57.7,57.66,57.14,57.4,1.21778487427,1.55434873822,1.72626765016
342,56.0,57.34,57.19,57.465,1.42933550995,1.5029230778,1.64165353098
343,59.9,58.18,57.31,57.57,1.45842380672,1.67494610195,1.72903989178
344,60.9,58.58,57.93,57.61,1.90971202017,1.74741078297,1.79850815371
345,57.0,58.3,58.05,57.53,2.0408331632,1.62155617986,1.78770655781
346,57.8,58.32,57.99,57.695,2.03396165156,1.61826381588,1.63947199459
347,59.4,59.0,58.17,57.695,1.58271917913,1.6693644832,1.63947199459
348,57.8,58.58,58.38,57.7,1.56268998845,1.4405245958,1.63964052543
349,56.1,57.62,58.1,57.675,1.21737422348,1.59234278833,1.66096832886
350,57.3,57.68,57.99,57.56,1.18617030818,1.6072405614,1.59914450813
351,72.6,60.64,59.48,58.31,6.78991899804,4.88098350745,3.72430141807
352,656,179.96,119.48,88.335,266.200155898,188.573126399,133.664734848
353,59.5,180.3,119.44,88.375,266.006137147,188.587210595,133.655519015
354,97.4,188.56,123.09,90.51,261.793187459,187.679345042,133.430139024
355,56.1,188.32,123.0,90.525,261.944110451,187.71477181,133.426048412
356,53.3,184.46,122.55,90.27,264.208086553,187.893748048,133.495531563
357,55.9,64.44,122.2,90.185,18.5563466232,188.027663449,133.517967547
358,62.5,65.04,122.67,90.525,18.4045646512,187.854595366,133.43416226
359,56.4,56.84,122.7,90.4,3.39823483591,187.842806623,133.466514626
360,71.8,59.98,124.15,91.07,7.41869260719,187.3371604,133.330985462
361,57.0,60.72,122.59,91.035,6.73921360397,187.8782966,133.340297833
362,66.4,62.82,63.63,91.555,6.49322724075,13.1341835596,133.216699107
363,57.1,61.74,63.39,91.415,6.98984978379,13.2395409454,133.253183136
364,55.3,61.52,59.18,91.135,7.21366758314,5.8603754146,133.326541263
365,56.5,58.46,59.22,91.11,4.49588700926,5.83834070796,133.333325482
366,56.6,58.38,59.55,91.05,4.53177669353,5.55282710778,133.349372939
367,481,141.3,102.06,112.13,189.899223274,133.25551229,158.949015659
368,63.2,142.52,102.13,112.4,189.241504433,133.232604034,158.856429719
369,73.4,146.14,103.83,113.265,187.319320947,132.691631236,158.580593075
370,54.6,145.76,102.11,113.13,187.548415083,133.263193635,158.631884696
371,145,163.44,110.91,116.75,181.097896178,132.858299201,158.484325972
372,91.8,85.6,113.45,88.54,35.9805503015,132.15373413,94.9083236325
