comp_code,stock_code
12586,REDINGTON
12605,KLGSYSTEL
12607,CONCOR
12608,SILINV
12611,RAMCOSYS
12626,EDL
12632,GRANULES
12637,KOTHARIPET
12639,CORALFINAC
12648,ARVINDREM
12653,RPOWER
12669,GEECEE
12683,LINCOLN
12715,SKIL
12727,CGCL
12828,JAINSTUDIO
12902,JAIHINDPRO
12952,ASPINWALL
12966,GOKEX
12977,INDRAMEDCO
12986,BLUECOAST
13023,HATSUN
13035,ICRA
13051,RAJESHEXPO
13067,GEOMETRIC
13090,CARERATING
13105,OFSS
13166,NBCC
13191,COMPUTECH
13212,PRESTIGE
13214,CEREBRAINT
13240,DPSCLTD
13267,MORARJEE
13320,LOKESHMACH
13362,POKARNA
13369,MGL
13410,ARIHANT
13415,KAMPERCONC
13425,CYBERMEDIA
13504,AJANTPHARM
13561,ARCHIES
13649,BLUECHIP
13660,CYIENT
13673,GOLDTECH
13683,NITCO
13706,GROWTECHNO
13786,TECHNOFAB
13819,MANAKSIA
13863,MOIL
13868,GMDCLTD
13872,SUZLON
13967,BLUEBIRD
13973,POLYMED
14001,TVSELECT
14138,SUPREMETEX
14155,SUBEX
14181,CALSOFT
14185,ORTEL
14192,EON
14222,GATI
14266,JPPOWER
14270,RUPA
14275,QUINTEGRA
14343,BIRLAMONEY
14369,CREATIVEYE
14390,RASOYPR
14482,FDC
14548,JUBLFOOD
14551,CINEVISTA
14602,DCBBANK
14608,PRASGLOFIN
14610,TODAYS
14618,ANKURDRUGS
14622,PVR
14680,MRO-TEK
14691,STAMPEDE
14709,VIDHIDYE
14738,KARUNACAB
14741,MAITHANALL
14744,GDL
14761,EIDERTELE
14775,JYOTHYLAB
14787,ARAVALIIND
14801,BIOCON
14804,TRICOM
14817,ATULAUTO
14852,ABGSHIP
14871,BGRENERGY
14927,ACCELYA
14965,PNBGILTS
14978,MINDACORP
15007,PNC
15046,AKSHOPTFBR
15108,SUMMITSEC
15196,NELCAST
15228,SUNTV
15293,JPASSOCIAT
15342,HELIOSMATH
15469,SMARTLINK
15542,BHARTIARTL
15613,GODREJPROP
15631,CASTEXTECH
15639,ENERGYDEV
15674,NDTV
15783,CENTURYPLY
15798,SALONA
15825,DWARKESH
15871,LOVABLE
15876,VIVIDHA
15934,REPRO
16012,TULIP
16020,AMBIKCO
16077,CURATECH
16093,SATIN
16305,KERNEX
16437,VAIBHAVGBL
16474,PNBHOUSING
16500,GAYAPROJ
16541,KPIT
16667,BLBLIMITED
16795,M&MFIN
16819,IZMO
16825,KAMDHENU
16996,STAR
17099,XLENERGY
17125,RAJTV
17136,JKCEMENT
17208,STEL
17211,DELTACORP
17215,TECHM
17376,HMVL
17399,SKMEGGPROD
17416,POLARIS
17472,ORTINLABSS
17515,NOIDATOLL
17576,EXCELCROP
17600,ORIENTCEM
17714,LPDC
17761,MICROTECH
17808,ADANIPOWER
18014,IL&FSENGG
18075,RECLTD
18105,LTI
18203,KAVVERITEL
18268,MHRIL
18286,PERSISTENT
18410,ADSL
18488,TORNTPOWER
18695,SHIRPUR-G
18844,NAUKRI
18868,MPSLTD
18922,LYPSAGEMS
19299,ALKEM
19320,VARDHACRLC
19534,MELSTAR
19611,VGUARD
19638,TBZ
19816,ADVENZYMES
19825,INDOTECH
19939,TWL
19961,SHOPERSTOP
20045,RSYSTEMS
20058,TRIVENI
20076,PTC
20099,PETRONET
20238,GROBTEA
20249,MANGALAM
20287,JINDALSTEL
20289,SIMPLEX
20422,ATLANTA
20485,BLUESTINFO
20561,TCI
20581,MINDTREE
20600,GLENMARK
20631,DISHTV
20648,SASKEN
20650,3IINFOTECH
20659,HATHWAY
20670,VISESHINFO
20703,IGL
20710,ISFT
20728,MAHLIFE
20754,TAJGVK
20790,VISUINTL
20791,ENTEGRA
20883,CADILAHC
20915,LYCOS
20944,GEPIL
20947,DSSL
20956,PADMALAYAT
20975,TELEDATAGL
21112,MUKTAARTS
21132,ORBITCORP
21187,DATAMATICS
21188,DIVISLAB
21203,ZENTEC
21214,TTML
21275,FCSSOFT
21281,ADANIPORTS
21300,OPTOCIRCUI
21304,AXISCADES
21321,BALAJITELE
21325,WELENT
21331,STRTECH
21335,CIGNITITEC
21338,AMAR
21351,PRITHVI
21357,NEXTMEDIA
21953,LITL
21960,GODREJCP
21999,NET4
22005,ICICIPRULI
22012,GOLDINFRA
22048,ROHLTD
22118,JAGRAN
22130,DISHMAN
22137,SADBHAV
22202,PONNIERODE
22219,MEGH
22265,IDFC
22361,GULPOLY
22406,COMPINFO
22472,ANANDAMRUB
22535,BLS
22626,INOXLEISUR
22648,CERA
22783,INVENTURE
22825,AIAENG
22835,TANTIACONS
22868,RAMSARUP
22883,RADAAN
22929,TRITURBINE
22980,ORISSAMINE
23037,BAGFILMS
23039,GMRINFRA
23040,IDEA
